_id	word	level_id	length	order	hint
1726	РЕСУРС	213	12	8	
1727	ПРЕДВОДИТЕЛЬ	214	24	1	
1728	ВИДЕОКАМЕРА	214	22	2	
1729	ВИОЛОНЧЕЛЬ	214	20	3	
1730	КАПИТАЛИЗМ	214	20	4	
1731	ПЕРЕСЧЁТ	214	16	5	
1732	КУХАРКА	214	14	6	
1733	ЛАВИНА	214	12	7	
1734	ПРИОСТАНОВКА	215	24	1	
1735	СВЕТОФИЛЬТР	215	22	2	
1736	ВОСКРЕСЕНЬЕ	215	22	3	
1737	ВЫПУСКНИК	215	18	4	
1738	ВКУСНОТА	215	16	5	
1739	БРЕЗЕНТ	215	14	6	
1740	КОМПАС	215	12	7	
1741	БЕФСТРОГАНОВ	216	24	1	
1742	МНОГОБОРЬЕ	216	20	2	
1743	ВОСПРИЯТИЕ	216	20	3	
1744	КРАСОТА	216	14	4	
1745	ПЕРСОНА	216	14	5	
1746	ГЛЯНЕЦ	216	12	6	
1747	ЗАПЛЫВ	216	12	7	
1748	ДАТЧИК	216	12	8	
1749	АКСЕЛЕРАТОР	217	22	1	
1750	ОТСТУПЛЕНИЕ	217	22	2	
1751	БЕЗРАЗЛИЧИЕ	217	22	3	
1752	МАССАЖИСТ	217	18	4	
1753	РЕПЕРТУАР	217	18	5	
1754	ЕЖЕВИКА	217	14	6	
1755	МОНЕТА	217	12	7	
1756	НАГРЕВАТЕЛЬ	218	22	1	
1757	ЗАКУСОЧНАЯ	218	20	2	
1758	НАСТОЯТЕЛЬ	218	20	3	
1759	ВОЛЬНОСТЬ	218	18	4	
1760	ОБЕЗЬЯНА	218	16	5	
1761	КОФЕЙНИК	218	16	6	
1762	БАКЛАЖАН	218	16	7	
1763	ОГРАЖДЕНИЕ	219	20	1	
1764	ПРАПОРЩИК	219	18	2	
1765	ЗАВЕЩАНИЕ	219	18	3	
1766	НЕФТЕБАЗА	219	18	4	
1767	ЭКСПРЕСС	219	16	5	
1768	СОРОЧКА	219	14	6	
1769	ПИДЖАК	219	12	7	
1770	ЗРАЧОК	219	12	8	
1771	РЕГИСТРАЦИЯ	220	22	1	
1772	ИНГРЕДИЕНТ	220	20	2	
1773	НАПОЛНЕНИЕ	220	20	3	
1774	ПРИОРИТЕТ	220	18	4	
1775	ПЕЛЬМЕНЬ	220	16	5	
1776	ИНСТИНКТ	220	16	6	
1777	РАЗНОСТЬ	220	16	7	
1778	ОПЕЧАТЫВАНИЕ	221	24	1	
1779	САМОДЕРЖАВИЕ	221	24	2	
1780	КИНОАРТИСТ	221	20	3	
1781	НАПАДЕНИЕ	221	18	4	
1782	ХАРАКТЕР	221	16	5	
1783	ОКРАИНА	221	14	6	
1784	ЯРОСТЬ	221	12	7	
1785	ПОДОДЕЯЛЬНИК	222	24	1	
1786	БЮСТГАЛЬТЕР	222	22	2	
1787	АМОРТИЗАТОР	222	22	3	
1788	КОМЕДИАНТ	222	18	4	
1789	ОТДУШИНА	222	16	5	
1790	ЗАМЕТКА	222	14	6	
1791	МОЛЧУН	222	12	7	
1792	ВЕЛОСИПЕДИСТ	223	24	1	
1793	ОГРАНИЧИТЕЛЬ	223	24	2	
1794	ВОЗРОЖДЕНИЕ	223	22	3	
1795	ИНОСТРАНЕЦ	223	20	4	
1796	АВАНТЮРИСТ	223	20	5	
1797	ЗАПОЛЯРЬЕ	223	18	6	
1798	БУХГАЛТЕРИЯ	224	22	1	
1799	ПОДРОБНОСТЬ	224	22	2	
1800	ИНФОРМАТИКА	224	22	3	
1801	АВИТАМИНОЗ	224	20	4	
1802	ПЕРЛАМУТР	224	18	5	
1803	ПЕХОТА	224	12	6	
1804	ИНТЕРН	224	12	7	
1805	ПЕРЕГОРОДКА	225	22	1	
1806	СОСТАВИТЕЛЬ	225	22	2	
1807	ЗАГОГУЛИНА	225	20	3	
1808	ЗАГОРОДКА	225	18	4	
1809	РУКОДЕЛИЕ	225	18	5	
1810	ТРАГЕДИЯ	225	16	6	
1811	ВОЗДУХ	225	12	7	
1812	ЗАВОЕВАТЕЛЬ	226	22	1	
1813	МАЛОМЕРКА	226	18	2	
1814	КРЫЖОВНИК	226	18	3	
1815	СЕНТЯБРЬ	226	16	4	
1816	МОСКВИЧ	226	14	5	
1817	МОЛОТОК	226	14	6	
1818	ВКЛАДЫШ	226	14	7	
1819	МЕЛОЧЬ	226	12	8	
1820	ЛИНГВИСТИКА	227	22	1	
1821	БОРТИНЖЕНЕР	227	22	2	
1822	ПРОВИДЕЦ	227	16	3	
1823	РАСПРАВА	227	16	4	
1824	ЛИЛИПУТ	227	14	5	
1825	СОЛЕНИЕ	227	14	6	
1826	ГАДЮКА	227	12	7	
1827	ГАВАНЬ	227	12	8	
1828	ПЕРЕСТАНОВКА	228	24	1	
1829	НЕВРОПАТОЛОГ	228	24	2	
1830	СОТРУДНИЦА	228	20	3	
1831	ПРОКУРОР	228	16	4	
1832	МЕДИЦИНА	228	16	5	
1833	ГРУЗЧИК	228	14	6	
1834	ПРИЧУДА	228	14	7	
1835	ПРОИЗВОДСТВО	229	24	1	
1836	ВОЗДУХОВОД	229	20	2	
1837	ПОХИЩЕНИЕ	229	18	3	
1838	ДЕЛЬФИН	229	14	4	
1839	ЗАВАРКА	229	14	5	
1840	ВИТРИНА	229	14	6	
1841	СПЕКТР	229	12	7	
1842	ПАРОЛЬ	229	12	8	
1843	ПОДБЕРЁЗОВИК	230	24	1	
1844	ДОБРОДЕТЕЛЬ	230	22	2	
1845	ГАЛАНТЕРЕЯ	230	20	3	
1846	СООБЩЕНИЕ	230	18	4	
1847	КРОНШТЕЙН	230	18	5	
1848	ВЛИЯНИЕ	230	14	6	
1849	ЛАНДЫШ	230	12	7	
1850	ПРЕСТУПНИК	231	20	1	
1851	КОФЕМОЛКА	231	18	2	
1852	УБОРЩИЦА	231	16	3	
1853	ИЕРАРХИЯ	231	16	4	
1854	КОНТРОЛЬ	231	16	5	
1855	ДОГОВОР	231	14	6	
1856	ТОЧИЛКА	231	14	7	
1857	МИЛОСТЬ	231	14	8	
1858	МИНИСТЕРСТВО	232	24	1	
1859	ПРОИСШЕСТВИЕ	232	24	2	
1860	МАРГАРИТКА	232	20	3	
1861	ТРАКТОРИСТ	232	20	4	
1862	ПЕРЕПЛЁТ	232	16	5	
1863	ДОЛЬКА	232	12	6	
1864	КУРИЦА	232	12	7	
1865	ПРИЯТЕЛЬНИЦА	233	24	1	
1866	РЕПТИЛИЯ	233	16	2	
1867	ИСТОЧНИК	233	16	3	
1868	КРЕПОСТЬ	233	16	4	
1869	ПОДЕЛКА	233	14	5	
1870	СВАДЬБА	233	14	6	
1871	МИНИМУМ	233	14	7	
1872	МАРАФОН	233	14	8	
1873	КОНФИГУРАЦИЯ	234	24	1	
1874	ВЫЖИГАНИЕ	234	18	2	
1875	НАШЕСТВИЕ	234	18	3	
1876	КАРТОНКА	234	16	4	
1877	ВСПЫШКА	234	14	5	
1878	МОРЩИНА	234	14	6	
1879	РЕМЕНЬ	234	12	7	
1880	АТЕЛЬЕ	234	12	8	
1881	РАСТВОРИТЕЛЬ	235	24	1	
1882	ОТБЕЛИВАТЕЛЬ	235	24	2	
1883	ЗАРАЖЕНИЕ	235	18	3	
1884	ОБОРВАНЕЦ	235	18	4	
1885	ИЗГНАНИЕ	235	16	5	
1886	МАВЗОЛЕЙ	235	16	6	
1887	СЕЛЬДЬ	235	12	7	
1888	ОППОЗИЦИОНЕР	236	24	1	
1889	ПРИСУТСТВИЕ	236	22	2	
1890	МИНИМАЛИЗМ	236	20	3	
1891	ДИВЕРСАНТ	236	18	4	
1892	БЕНЗОБАК	236	16	5	
1893	ИСПАНЕЦ	236	14	6	
1894	ОБЪЯТИЕ	236	14	7	
1895	НЕСОВПАДЕНИЕ	237	24	1	
1896	ОБСЛУЖИВАНИЕ	237	24	2	
1897	ГОЛОСОВАНИЕ	237	22	3	
1898	КИНОАКТРИСА	237	22	4	
1899	АВТОСАЛОН	237	18	5	
1900	ЛУКАВСТВО	237	18	6	
1901	БЛАГОРОДСТВО	238	24	1	
1902	НАБЛЮДАТЕЛЬ	238	22	2	
1903	МОТОРОЛЛЕР	238	20	3	
1904	ЖУРНАЛИСТ	238	18	4	
1905	СКАЗАНИЕ	238	16	5	
1906	РАЗВИЛКА	238	16	6	
1907	МАКЛЕР	238	12	7	
1908	ТРЕНИРОВКА	239	20	1	
1909	ЗАДЕРЖАНИЕ	239	20	2	
1910	АВТОРИТЕТ	239	18	3	
1911	НАДБАВКА	239	16	4	
1912	МАРМЕЛАД	239	16	5	
1913	ОДИССЕЯ	239	14	6	
1914	ПУГАЛО	239	12	7	
1915	СИБИРЬ	239	12	8	
1916	ПРАВОПИСАНИЕ	240	24	1	
1917	БЕРЕМЕННОСТЬ	240	24	2	
1918	ПРЕПЯТСТВИЕ	240	22	3	
1919	РЕПОРТЁР	240	16	4	
1920	СЕНСАЦИЯ	240	16	5	
1921	ОГНЕМЁТ	240	14	6	
1922	ЗАПИСЬ	240	12	7	
1923	РАЗНООБРАЗИЕ	241	24	1	
1924	ПРОКУРАТУРА	241	22	2	
1925	ЖЕСТКОСТЬ	241	18	3	
1926	АНТРЕСОЛЬ	241	18	4	
1927	ЛАКОМСТВО	241	18	5	
1928	УЧАСТНИК	241	16	6	
1929	ПОВТОР	241	12	7	
1930	КОМАНДИРОВКА	242	24	1	
1931	МЕТРОПОЛИТЕН	242	24	2	
1932	ПРЕДРАССУДОК	242	24	3	
1933	МЕСТОИМЕНИЕ	242	22	4	
1934	НАСЕКОМОЕ	242	18	5	
1935	БУМЕРАНГ	242	16	6	
1936	МОЖЖЕВЕЛЬНИК	243	24	1	
1937	ПРОПОВЕДНИК	243	22	2	
1938	ОБНАРУЖЕНИЕ	243	22	3	
1939	АРИФМЕТИКА	243	20	4	
1940	ПУНКТИР	243	14	5	
1941	ЛЕДОКОЛ	243	14	6	
1942	ПРИБОР	243	12	7	
1943	НЕИЗБЕЖНОСТЬ	244	24	1	
1944	АВТОЛЮБИТЕЛЬ	244	24	2	
1945	ПОДГУЗНИК	244	18	3	
1946	ВЕЛИЧИНА	244	16	4	
1947	КЕРАМИКА	244	16	5	
1948	ВЕРХУШКА	244	16	6	
1949	СТРУЖКА	244	14	7	
1950	ИЗДАТЕЛЬСТВО	245	24	1	
1951	КИНЕМАТОГРАФ	245	24	2	
1952	ТРОЛЛЕЙБУС	245	20	3	
1953	МОТОЦИКЛ	245	16	4	
1954	ГЛИЦЕРИН	245	16	5	
1955	ПОСЫЛКА	245	14	6	
1956	НАЖИВКА	245	14	7	
1957	НЕОБЫЧНОСТЬ	246	22	1	
1958	МАРГАНЦОВКА	246	22	2	
1959	ПРОБУКСОВКА	246	22	3	
1960	ПРЕВЫШЕНИЕ	246	20	4	
1961	КОВАРСТВО	246	18	5	
1962	ПУЗЫРЬ	246	12	6	
1963	БОЛОТО	246	12	7	
1964	РАЗОБЛАЧЕНИЕ	247	24	1	
1965	АРИСТОКРАТ	247	20	2	
1966	ТАМОЖЕННИК	247	20	3	
1967	АППЕНДИКС	247	18	4	
1968	ВТОРЖЕНИЕ	247	18	5	
1969	ШИМПАНЗЕ	247	16	6	
1970	МИНУТА	247	12	7	
1971	ВОСПОМИНАНИЕ	248	24	1	
1972	СИГНАЛИЗАЦИЯ	248	24	2	
1973	ГРАЖДАНСТВО	248	22	3	
1974	ПОДРОСТОК	248	18	4	
1975	АВТОБУС	248	14	5	
1976	ЛОГОПЕД	248	14	6	
1977	ИНДЕЕЦ	248	12	7	
1978	ПОДЗАТЫЛЬНИК	249	24	1	
1979	КАТАЛИЗАТОР	249	22	2	
1980	АККУМУЛЯТОР	249	22	3	
1981	ПРАКТИКАНТ	249	20	4	
1982	РУКОЯТКА	249	16	5	
1983	БИЗНЕС	249	12	6	
1984	СУМРАК	249	12	7	
1985	КОНДИТЕРСКАЯ	250	24	1	
1986	ОДНОФАМИЛЕЦ	250	22	2	
1987	МОРОЖЕНИЦА	250	20	3	
1988	ЗАЖИГАЛКА	250	18	4	
1989	КАБРИОЛЕТ	250	18	5	
1990	АЛХИМИК	250	14	6	
1991	КАЛИНА	250	12	7	
1992	АВСТРАЛИЕЦ	251	20	1	
1993	СТРЕМЛЕНИЕ	251	20	2	
1994	СЛАГАЕМОЕ	251	18	3	
1995	ЧЕРЁМУХА	251	16	4	
1996	ГОНОРАР	251	14	5	
1997	ЛОПАСТЬ	251	14	6	
1998	СЛЕСАРЬ	251	14	7	
1999	ПАТЕНТ	251	12	8	
2000	ИЗОБРЕТАТЕЛЬ	252	24	1	
2001	ОПАЗДЫВАНИЕ	252	22	2	
2002	НЕОПЫТНОСТЬ	252	22	3	
2003	УВОЛЬНЕНИЕ	252	20	4	
2004	ЖУРЧАНИЕ	252	16	5	
2005	КОСМОС	252	12	6	
2006	СОСТАВ	252	12	7	
2007	ПРЕДСЕДАТЕЛЬ	253	24	1	
2008	КОНСУЛЬТАНТ	253	22	2	
2009	ПРОВИНЦИЯ	253	18	3	
2010	ЗРИТЕЛЬ	253	14	4	
2011	ГАДОСТЬ	253	14	5	
2012	КЛУБОК	253	12	6	
2013	НАСТИЛ	253	12	7	
2014	НОЧНИК	253	12	8	
2015	БОДИБИЛДИНГ	254	22	1	
2016	ПЕРЕКРЁСТОК	254	22	2	
2017	ЛЮБЕЗНОСТЬ	254	20	3	
2018	СОТРУДНИК	254	18	4	
2019	ЗАКЛЁПКА	254	16	5	
2020	УВАЖЕНИЕ	254	16	6	
2021	КЛАРНЕТ	254	14	7	
2022	СКОРОГОВОРКА	255	24	1	
2023	ГОСУДАРСТВО	255	22	2	
2024	ОМОЛОЖЕНИЕ	255	20	3	
2025	ПРАВНУЧКА	255	18	4	
2026	ШАМПИНЬОН	255	18	5	
2027	ВОДОПОЙ	255	14	6	
2028	ПОРЦИЯ	255	12	7	
2029	ОБОЗРЕВАТЕЛЬ	256	24	1	
2030	ПРОИЗНОШЕНИЕ	256	24	2	
2031	СТАТИСТИКА	256	20	3	
2032	АПЕЛЬСИН	256	16	4	
2033	ПРАЗДНИК	256	16	5	
2034	ГИРЛЯНДА	256	16	6	
2035	АФРИКА	256	12	7	
2036	КОЛЛЕКЦИОНЕР	257	24	1	
2037	ПЕРЕДВИЖЕНИЕ	257	24	2	
2038	ЗАМЕДЛЕНИЕ	257	20	3	
2039	КОПИРОВЩИК	257	20	4	
2040	ГЛУПОСТЬ	257	16	5	
2041	ФОЛЬГА	257	12	6	
2042	ВНУЧКА	257	12	7	
2043	ОДНОПОЛЧАНИН	258	24	1	
2044	МОРОЗИЛКА	258	18	2	
2045	СВЕРСТНИК	258	18	3	
2046	АНОМАЛИЯ	258	16	4	
2047	БРОНХИТ	258	14	5	
2048	ПРИХОТЬ	258	14	6	
2049	КАКАДУ	258	12	7	
2050	ЛОМОТЬ	258	12	8	
2051	ВЗАИМОПОМОЩЬ	259	24	1	
2052	ПРИСТРАСТИЕ	259	22	2	
2053	СКАМЕЙКА	259	16	3	
2054	ЭРМИТАЖ	259	14	4	
2055	КАТАЛОГ	259	14	5	
2056	ЛИЦЕДЕЙ	259	14	6	
2057	ПРОКОЛ	259	12	7	
2058	НЕКТАР	259	12	8	
2059	ПРЕДСКАЗАНИЕ	260	24	1	
2060	ФРИКАДЕЛЬКА	260	22	2	
2061	ЗАГРАЖДЕНИЕ	260	22	3	
2062	АЛЛИГАТОР	260	18	4	
2063	ЗАГРАНИЦА	260	18	5	
2064	ПОКРОЙ	260	12	6	
2065	ПЛАТЬЕ	260	12	7	
2066	МЕТАЛЛУРГ	261	18	1	
2067	СЛОЖНОСТЬ	261	18	2	
2068	СОЗИДАНИЕ	261	18	3	
2069	СТРОГОСТЬ	261	18	4	
2070	ЛАКОМКА	261	14	5	
2071	СМАЗКА	261	12	6	
2072	ВЕРЕСК	261	12	7	
2073	МОНАХ	261	10	8	
2074	ХАОС	261	8	9	
2075	ЗАГОТОВКА	262	18	1	
2076	ТОЛЩИНА	262	14	2	
2077	НАСТОЙ	262	12	3	
2078	НАДРЫВ	262	12	4	
2079	АЦЕТОН	262	12	5	
2080	ДОСУГ	262	10	6	
2081	КИШКА	262	10	7	
2082	СВОД	262	8	8	
2083	УРОН	262	8	9	
2084	УДАВ	262	8	10	
2085	ЛАПА	262	8	11	
2086	КАРЕ	262	8	12	
2087	ДИРИЖАБЛЬ	263	18	1	
2088	СВЕДЕНИЕ	263	16	2	
2089	ПЕРЧАТКА	263	16	3	
2090	ПАСТУХ	263	12	4	
2091	ЖЕЛТОК	263	12	5	
2092	ОТРЫВ	263	10	6	
2093	СУММА	263	10	7	
2094	СЕНАТ	263	10	8	
2095	МАТЬ	263	8	9	
2096	ЛЕТО	263	8	10	
2097	КРЕН	263	8	11	
2098	МИГРАЦИЯ	264	16	1	
2099	ПОЛДНИК	264	14	2	
2100	ОТЛИВКА	264	14	3	
2101	МАНИКЮР	264	14	4	
2102	ГРИЛЬЯЖ	264	14	5	
2103	ПАЛАТКА	264	14	6	
2104	ВЫРУБ	264	10	7	
2105	КЛОН	264	8	8	
2106	ВОДА	264	8	9	
2107	КУПЕ	264	8	10	
2108	ЯЗЫК	264	8	11	
2109	СОКРОВИЩЕ	265	18	1	
2110	ПРОФЕССОР	265	18	2	
2111	БРИГАДИР	265	16	3	
2112	БАТАРЕЯ	265	14	4	
2113	ДЮБЕЛЬ	265	12	5	
2114	ЗАМЕНА	265	12	6	
2115	СТРИЖ	265	10	7	
2116	САБЛЯ	265	10	8	
2117	ЧРЕВО	265	10	9	
2118	ХЛЕВ	265	8	10	
2119	ПОВЕДЕНИЕ	266	18	1	
2120	ФАВОРИТКА	266	18	2	
2121	МЕХАНИЗМ	266	16	3	
2122	ШИРИНКА	266	14	4	
2123	ТИХОНЯ	266	12	5	
2124	СТРУНА	266	12	6	
2125	МАРКА	266	10	7	
2126	СТУЖА	266	10	8	
2127	ЗАПАС	266	10	9	
2128	МОПС	266	8	10	
2129	ИНТЕЛЛЕКТ	267	18	1	
2130	ПРОВОЗКА	267	16	2	
2131	НАЖДАК	267	12	3	
2132	КЛИЕНТ	267	12	4	
2133	ЗАСТУП	267	12	5	
2134	ЧТЕНИЕ	267	12	6	
2135	ТУРНИР	267	12	7	
2136	ТАПОК	267	10	8	
2137	ЧАЩА	267	8	9	
2138	БАРС	267	8	10	
2139	ТЕМА	267	8	11	
2140	АВИАЛИНИЯ	268	18	1	
2141	ИНФУЗОРИЯ	268	18	2	
2142	ПОДКЛАСС	268	16	3	
2143	ШАХМАТЫ	268	14	4	
2144	ПЕРЕХОД	268	14	5	
2145	НАКАЗ	268	10	6	
2146	ШАССИ	268	10	7	
2147	БРЕШЬ	268	10	8	
2148	БУТОН	268	10	9	
2149	ВЫПЬ	268	8	10	
2150	ВОССТАНИЕ	269	18	1	
2151	ТАБУРЕТКА	269	18	2	
2152	КРОКОДИЛ	269	16	3	
2153	ДОБЛЕСТЬ	269	16	4	
2154	МАКАРОНЫ	269	16	5	
2155	ТЕПЛОВОЗ	269	16	6	
2156	МАЛЫШ	269	10	7	
2157	КЛАСС	269	10	8	
2158	РОМБ	269	8	9	
2159	СПЕЦИФИКА	270	18	1	
2160	ИМИТАЦИЯ	270	16	2	
2161	ЛАБРАДОР	270	16	3	
2162	МОЗАИКА	270	14	4	
2163	РЕШЁТКА	270	14	5	
2164	ПАНЕЛЬ	270	12	6	
2165	МОСКИТ	270	12	7	
2166	ПЯТАК	270	10	8	
2167	ЛАНЬ	270	8	9	
2168	ШАРМ	270	8	10	
2169	СПАСИТЕЛЬ	271	18	1	
2170	СЕКУНДАНТ	271	18	2	
2171	СОУЧАСТИЕ	271	18	3	
2172	ТОРНАДО	271	14	4	
2173	ХОРОВОД	271	14	5	
2174	ПЕРЕВАЛ	271	14	6	
2175	БАЛКОН	271	12	7	
2176	ЭСКИЗ	271	10	8	
2177	КЛЕРК	271	10	9	
2178	ГЛАДИОЛУС	272	18	1	
2179	БЕЗУМСТВО	272	18	2	
2180	ПОЛКОВНИК	272	18	3	
2181	АРТИСТКА	272	16	4	
2182	ПЕРЕНОС	272	14	5	
2183	БЕЛОРУС	272	14	6	
2184	УМЫСЕЛ	272	12	7	
2185	ПОХОД	272	10	8	
2186	ЛОЖА	272	8	9	
2187	АДРЕНАЛИН	273	18	1	
2188	БАКТЕРИЯ	273	16	2	
2189	ЗАКОРЮКА	273	16	3	
2190	ОТЧЕСТВО	273	16	4	
2191	ПРИМИТИВ	273	16	5	
2192	ЧЕМПИОН	273	14	6	
2193	СОСИСКА	273	14	7	
2194	ВОЛНА	273	10	8	
2195	ФЕТА	273	8	9	
2196	МИЛОСТЫНЯ	274	18	1	
2197	ОБЩЕЖИТИЕ	274	18	2	
2198	СВЯТОСТЬ	274	16	3	
2199	ИЗДАТЕЛЬ	274	16	4	
2200	ПОДЪЁМ	274	12	5	
2201	ЩАВЕЛЬ	274	12	6	
2202	БАРЖА	274	10	7	
2203	ПОЛЁТ	274	10	8	
2204	КУРС	274	8	9	
2205	БЫЛЬ	274	8	10	
2206	СУПЕРМЕН	275	16	1	
2207	АГИТАЦИЯ	275	16	2	
2208	ИНТЕРВАЛ	275	16	3	
2209	ПЕДИКЮР	275	14	4	
2210	ПОМЕЩИК	275	14	5	
2211	СОНАТА	275	12	6	
2212	СЕКЦИЯ	275	12	7	
2213	ЗАСОЛ	275	10	8	
2214	ТАЛОН	275	10	9	
2215	ИЗЮМ	275	8	10	
2216	КУКОЛЬНИК	276	18	1	
2217	ВАЖНОСТЬ	276	16	2	
2218	ОТВЕТЧИК	276	16	3	
2219	КОЧЕГАР	276	14	4	
2220	ТАЧАНКА	276	14	5	
2221	ДИРИЖЁР	276	14	6	
2222	ТАРАКАН	276	14	7	
2223	УСТРИЦА	276	14	8	
2224	БОРТ	276	8	9	
2225	СТОИМОСТЬ	277	18	1	
2226	МЕДАЛЬОН	277	16	2	
2227	СУВЕНИР	277	14	3	
2228	ТРАМВАЙ	277	14	4	
2229	ЦЕНТНЕР	277	14	5	
2230	БРЮНЕТ	277	12	6	
2231	ПЕНСИЯ	277	12	7	
2232	ТУРОК	277	10	8	
2233	ЩЕБЕТ	277	10	9	
2234	СТОЛ	277	8	10	
2235	ПЕРЕДЕЛКА	278	18	1	
2236	ИЗВЕСТНЯК	278	18	2	
2237	КАРУСЕЛЬ	278	16	3	
2238	ПАВИЛЬОН	278	16	4	
2239	ШТУРМАН	278	14	5	
2240	КАРАТЭ	278	12	6	
2241	ФУЖЕР	278	10	7	
2242	БЛЮЗ	278	8	8	
2243	СТОГ	278	8	9	
2244	АНОД	278	8	10	
2245	ВНЕДРЕНИЕ	279	18	1	
2246	МИКРОСКОП	279	18	2	
2247	СВИДАНИЕ	279	16	3	
2248	ПОДПИСЬ	279	14	4	
2249	ПОДВОХ	279	12	5	
2250	БРОНЗА	279	12	6	
2251	ФОРЕЛЬ	279	12	7	
2252	РЫБАК	279	10	8	
2253	УТЕС	279	8	9	
2254	СУТЬ	279	8	10	
2255	АВИАБИЛЕТ	280	18	1	
2256	РОВЕСНИЦА	280	18	2	
2257	КАРНАВАЛ	280	16	3	
2258	ОТПРАВКА	280	16	4	
2259	БРУСНИКА	280	16	5	
2260	ДОКУМЕНТ	280	16	6	
2261	ГИЕНА	280	10	7	
2262	ОМЕГА	280	10	8	
2263	ДУРЬ	280	8	9	
2264	ХИМЧИСТКА	281	18	1	
2265	ЗАКОУЛОК	281	16	2	
2266	ПЛЕТЕНИЕ	281	16	3	
2267	БУКВАРЬ	281	14	4	
2268	ТОВАРИЩ	281	14	5	
2269	ПОГРОМ	281	12	6	
2270	ЗЛОБА	281	10	7	
2271	ТАРИФ	281	10	8	
2272	ГОНКА	281	10	9	
2273	ГУСЬ	281	8	10	
2274	МОНАСТЫРЬ	282	18	1	
2275	СЛЕДСТВИЕ	282	18	2	
2276	АГРЕССИЯ	282	16	3	
2277	СЛЕПЕНЬ	282	14	4	
2278	ТЕТЕРЕВ	282	14	5	
2279	ПАНАМА	282	12	6	
2280	ФИНИШ	282	10	7	
2281	МЫШЦА	282	10	8	
2282	ТЕНТ	282	8	9	
2283	ЮНЕЦ	282	8	10	
2284	СКАЗОЧНИК	283	18	1	
2285	НАКАЗАНИЕ	283	18	2	
2286	АЛФАВИТ	283	14	3	
2287	ВОЗГЛАС	283	14	4	
2288	КОНТАКТ	283	14	5	
2289	БЕЛОК	283	10	6	
2290	КАДР	283	8	7	
2291	ОРЁЛ	283	8	8	
2292	ПСИХ	283	8	9	
2293	КАША	283	8	10	
2294	ПЛОД	283	8	11	
2295	ТРЕНАЖЁР	284	16	1	
2296	ПРИСЛУГА	284	16	2	
2297	ПОКУПКА	284	14	3	
2298	ХИМИКАТ	284	14	4	
2299	ЗАКУСКА	284	14	5	
2300	БИЛЕТ	284	10	6	
2301	ЖИЛЕЦ	284	10	7	
2302	СУТКИ	284	10	8	
2303	БАЯН	284	8	9	
2304	ЖЕСТ	284	8	10	
2305	УРАН	284	8	11	
2306	КАЛЕНДУЛА	285	18	1	
2307	САМУРАЙ	285	14	2	
2308	НАЛИЧИЕ	285	14	3	
2309	РАДОСТЬ	285	14	4	
2310	ВАРЕНИК	285	14	5	
2311	ЛОГИКА	285	12	6	
2312	ДИВАН	285	10	7	
2313	ПЛАН	285	8	8	
2314	ОРЕХ	285	8	9	
2315	ПОЯС	285	8	10	
2316	МАРШ	285	8	11	
2317	АВАНТЮРА	286	16	1	
2318	ЧЕРЧЕНИЕ	286	16	2	
2319	ПОЛИГОН	286	14	3	
2320	СТРАНА	286	12	4	
2321	СПИСОК	286	12	5	
2322	ЗВАНИЕ	286	12	6	
2323	АНОНС	286	10	7	
2324	ПАПКА	286	10	8	
2325	СОПКА	286	10	9	
2326	ЭТЮД	286	8	10	
2327	ВЫСЬ	286	8	11	
2328	ОТЛИЧНИЦА	287	18	1	
2329	ХАМЕЛЕОН	287	16	2	
2330	КАЧЕСТВО	287	16	3	
2331	ВЕНТИЛЬ	287	14	4	
2332	ПОВЯЗКА	287	14	5	
2333	ДЕВЯТКА	287	14	6	
2334	ПРОСО	287	10	7	
2335	ТАНЕЦ	287	10	8	
2336	СНОП	287	8	9	
2337	ГЕРБ	287	8	10	
2338	ОТДАЛЕНИЕ	288	18	1	
2339	МАХИНАЦИЯ	288	18	2	
2340	СЕЛЕЗЁНКА	288	18	3	
2341	АВТОКЛУБ	288	16	4	
2342	ЭСКАДРОН	288	16	5	
2343	ПЕРЕУЛОК	288	16	6	
2344	ПЕРЕГИБ	288	14	7	
2345	ОДЕЯЛО	288	12	8	
2346	СЕМЕЙСТВО	289	18	1	
2347	ШКОЛЬНИЦА	289	18	2	
2348	ЗАЗУБРИНА	289	18	3	
2349	НИТРАТ	289	12	4	
2350	ТОСТЕР	289	12	5	
2351	ЖЮЛЬЕН	289	12	6	
2352	КРУИЗ	289	10	7	
2353	ЗАВАЛ	289	10	8	
2354	СЮЖЕТ	289	10	9	
2355	РЕЧЬ	289	8	10	
2356	СНАБЖЕНИЕ	290	18	1	
2357	ДЕМОКРАТ	290	16	2	
2358	ОЗАРЕНИЕ	290	16	3	
2359	ТОЛСТЯК	290	14	4	
2360	МАЛЫШКА	290	14	5	
2361	ЗООСАД	290	12	6	
2362	САМБО	290	10	7	
2363	ПУЛЬС	290	10	8	
2364	ГУАШЬ	290	10	9	
2365	РЫБА	290	8	10	
2366	ФУТБОЛИСТ	291	18	1	
2367	ДРЕВЕСИНА	291	18	2	
2368	ДЕЙСТВИЕ	291	16	3	
2369	КНЯГИНЯ	291	14	4	
2370	МИЛЕДИ	291	12	5	
2371	СОБАКА	291	12	6	
2372	КОЛЬЕ	291	10	7	
2373	БРАНЬ	291	10	8	
2374	МЕТОД	291	10	9	
2375	ДЫРА	291	8	10	
